"ID","Curve Batch Name","x","y","Sample Name"
"Noise Regime 060","Noise Regime",60,1926070.79799718,"60"
"Noise Regime 060","Noise Regime",90,3112039.35129793,"90"
"Noise Regime 060","Noise Regime",120,4659910.66717797,"120"
"Noise Regime 060","Noise Regime",150,9359446.27874972,"150"
"Noise Regime 060","Noise Regime",180,17559764.4432192,"180"
"Noise Regime 061","Noise Regime",0,185978,"0"
"Noise Regime 061","Noise Regime",30,336241.249458862,"30"
"Noise Regime 061","Noise Regime",60,686120.584904125,"60"
"Noise Regime 061","Noise Regime",90,1163391.87321068,"90"
"Noise Regime 061","Noise Regime",120,1988534.36350153,"120"
"Noise Regime 061","Noise Regime",150,3952804.34865557,"150"
"Noise Regime 061","Noise Regime",180,7617108.33321545,"180"
"Noise Regime 062","Noise Regime",0,437456.167884836,"0"
"Noise Regime 062","Noise Regime",30,617883.013893973,"30"
"Noise Regime 062","Noise Regime",60,1308554.12925954,"60"
"Noise Regime 062","Noise Regime",90,2320938.50304739,"90"
"Noise Regime 062","Noise Regime",120,4646063.49883476,"120"
"Noise Regime 062","Noise Regime",150,8665118.47029714,"150"
"Noise Regime 062","Noise Regime",180,14707822.1383366,"180"
"Noise Regime 063","Noise Regime",0,152069,"0"
"Noise Regime 063","Noise Regime",30,288664.409991221,"30"
"Noise Regime 063","Noise Regime",60,607646.171941627,"60"
"Noise Regime 063","Noise Regime",90,811347.451691399,"90"
"Noise Regime 063","Noise Regime",120,1579539.24759217,"120"
"Noise Regime 063","Noise Regime",150,3205918.14063552,"150"
"Noise Regime 063","Noise Regime",180,5102499.77431684,"180"
"Noise Regime 064","Noise Regime",0,453858,"0"
"Noise Regime 064","Noise Regime",30,730692.223165928,"30"
"Noise Regime 064","Noise Regime",60,1694797.09375349,"60"
"Noise Regime 064","Noise Regime",90,3094250.04971325,"90"
"Noise Regime 064","Noise Regime",120,5771554.30999541,"120"
"Noise Regime 064","Noise Regime",150,10849926.8115792,"150"
"Noise Regime 064","Noise Regime",180,15348921.8873879,"180"
"Noise Regime 065","Noise Regime",0,533471.713361766,"0"
"Noise Regime 065","Noise Regime",30,1023805.37655893,"30"
"Noise Regime 065","Noise Regime",60,1617581.35453812,"60"
"Noise Regime 065","Noise Regime",90,2908430.62715403,"90"
"Noise Regime 065","Noise Regime",120,5134055.62197023,"120"
"Noise Regime 065","Noise Regime",150,12603614.5983428,"150"
"Noise Regime 065","Noise Regime",180,11719576.0509244,"180"
"Noise Regime 066","Noise Regime",0,634102.919796091,"0"
"Noise Regime 066","Noise Regime",30,966231.253624902,"30"
"Noise Regime 066","Noise Regime",60,2214325.93497665,"60"
