"ID","Dilution Batch Name","x","y","Sample Name"
"Saturation 011","Saturation",30,276632.392444082,"30"
"Saturation 011","Saturation",60,466114.139556822,"60"
"Saturation 011","Saturation",90,544939.702877464,"90"
"Saturation 011","Saturation",120,610080.578724612,"120"
"Saturation 011","Saturation",150,648150.58518998,"150"
"Saturation 011","Saturation",180,662635.662531684,"180"
"Saturation 012","Saturation",0,2009.96347202801,"0"
"Saturation 012","Saturation",30,77356.6157177553,"30"
"Saturation 012","Saturation",60,115416.985118375,"60"
"Saturation 012","Saturation",90,137516.919731541,"90"
"Saturation 012","Saturation",120,149164.549852358,"120"
"Saturation 012","Saturation",150,161722.650106422,"150"
"Saturation 012","Saturation",180,163790.946459533,"180"
"Saturation 013","Saturation",0,12206.2486194824,"0"
"Saturation 013","Saturation",30,403477.014205272,"30"
"Saturation 013","Saturation",60,615188.690501217,"60"
"Saturation 013","Saturation",90,773283.254627785,"90"
"Saturation 013","Saturation",120,877859.039318906,"120"
"Saturation 013","Saturation",150,920562.472122936,"150"
"Saturation 013","Saturation",180,950031.486129061,"180"
"Saturation 014","Saturation",0,4846.54,"0"
"Saturation 014","Saturation",30,186974.312762769,"30"
"Saturation 014","Saturation",60,289296.049556753,"60"
"Saturation 014","Saturation",90,380825.295542579,"90"
"Saturation 014","Saturation",120,433014.669455968,"120"
"Saturation 014","Saturation",150,447110.451882324,"150"
"Saturation 014","Saturation",180,465887.033111016,"180"
"Saturation 015","Saturation",0,8298.38,"0"
"Saturation 015","Saturation",30,359540.617995266,"30"
"Saturation 015","Saturation",60,550837.058980841,"60"
"Saturation 015","Saturation",90,661914.689938551,"90"
"Saturation 015","Saturation",120,720736.069663014,"120"
"Saturation 015","Saturation",150,763281.291425009,"150"
"Saturation 015","Saturation",180,789451.000284415,"180"
"Saturation 016","Saturation",0,4197.19,"0"
"Saturation 016","Saturation",30,166420.035914406,"30"
"Saturation 016","Saturation",60,270661.256755008,"60"
"Saturation 016","Saturation",90,352616.881981779,"90"
"Saturation 016","Saturation",120,364461.544097312,"120"
"Saturation 016","Saturation",150,390603.763831691,"150"
"Saturation 016","Saturation",180,402110.825056637,"180"
"Saturation 017","Saturation",0,1418.34,"0"
"Saturation 017","Saturation",30,66228.1285908631,"30"
"Saturation 017","Saturation",60,94872.0544077217,"60"
"Saturation 017","Saturation",90,112909.538672015,"90"
"Saturation 017","Saturation",120,123681.139137167,"120"
"Saturation 017","Saturation",150,128753.583943064,"150"
"Saturation 017","Saturation",180,136794.224288476,"180"
"Saturation 018","Saturation",0,9216.01788047117,"0"
"Saturation 018","Saturation",30,401770.338957617,"30"
"Saturation 018","Saturation",60,501970.786734187,"60"
"Saturation 018","Saturation",90,674428.923059921,"90"
"Saturation 018","Saturation",120,726212.101734207,"120"
"Saturation 018","Saturation",150,757770.783710006,"150"
"Saturation 018","Saturation",180,787465.324382226,"180"
"Saturation 019","Saturation",0,315.17,"0"
"Saturation 019","Saturation",30,11382.4270692541,"30"
"Saturation 019","Saturation",60,21334.6219437777,"60"
"Saturation 019","Saturation",90,26675.6419521452,"90"
"Saturation 019","Saturation",120,27047.8139859455,"120"
"Saturation 019","Saturation",150,29504.5626931985,"150"
"Saturation 019","Saturation",180,30327.5239211755,"180"
"Saturation 020","Saturation",0,193.92,"0"
"Saturation 020","Saturation",30,7950.94542643239,"30"
"Saturation 020","Saturation",60,12489.1772028541,"60"
"Saturation 020","Saturation",90,15684.6454409543,"90"
"Saturation 020","Saturation",120,16925.595304678,"120"
"Saturation 020","Saturation",150,18190.419648883,"150"
"Saturation 020","Saturation",180,18524.9812161113,"180"
"Saturation 021","Saturation",0,5007.91,"0"
"Saturation 021","Saturation",30,184536.579710287,"30"
"Saturation 021","Saturation",60,382421.86118956,"60"
"Saturation 021","Saturation",90,393056.867159451,"90"
"Saturation 021","Saturation",120,442464.327330969,"120"
"Saturation 021","Saturation",150,468058.267929104,"150"
"Saturation 021","Saturation",180,478067.307399173,"180"
"Saturation 022","Saturation",0,7716.67334111938,"0"
"Saturation 022","Saturation",30,297403.020571963,"30"
"Saturation 022","Saturation",60,479756.162648397,"60"
"Saturation 022","Saturation",90,581043.561830406,"90"
"Saturation 022","Saturation",120,667773.530731291,"120"
"Saturation 022","Saturation",150,673698.499262955,"150"
"Saturation 022","Saturation",180,695657.517719141,"180"
"Saturation 023","Saturation",0,5130.28358098399,"0"
"Saturation 023","Saturation",30,211001.461408683,"30"
"Saturation 023","Saturation",60,312882.726579334,"60"
"Saturation 023","Saturation",90,377165.881695284,"90"
"Saturation 023","Saturation",120,440861.080707528,"120"
"Saturation 023","Saturation",150,453532.362645778,"150"
"Saturation 023","Saturation",180,467023.170362954,"180"
"Saturation 024","Saturation",0,3875.8,"0"
"Saturation 024","Saturation",30,176256.123632844,"30"
"Saturation 024","Saturation",60,254422.455207395,"60"
"Saturation 024","Saturation",90,315292.529754402,"90"
"Saturation 024","Saturation",120,337499.278143534,"120"
"Saturation 024","Saturation",150,360613.141830234,"150"
"Saturation 024","Saturation",180,370369.098323293,"180"
"Saturation 025","Saturation",0,9264.87,"0"
"Saturation 025","Saturation",30,339693.391949601,"30"
"Saturation 025","Saturation",60,668360.061266063,"60"
"Saturation 025","Saturation",90,750215.719869024,"90"
"Saturation 025","Saturation",120,795638.367905767,"120"
"Saturation 025","Saturation",150,854385.613396582,"150"
"Saturation 025","Saturation",180,880485.229289072,"180"
"Saturation 026","Saturation",0,8865.88145661066,"0"
"Saturation 026","Saturation",30,300285.972921097,"30"
"Saturation 026","Saturation",60,498617.956300745,"60"
"Saturation 026","Saturation",90,582405.817538546,"90"
"Saturation 026","Saturation",120,646379.996321283,"120"
"Saturation 026","Saturation",150,682923.555750721,"150"
"Saturation 026","Saturation",180,707811.995712628,"180"
"Saturation 027","Saturation",0,9172.83,"0"
"Saturation 027","Saturation",30,384066.569026676,"30"
"Saturation 027","Saturation",60,607091.790320581,"60"
"Saturation 027","Saturation",90,756926.577805923,"90"
"Saturation 027","Saturation",120,798511.436907632,"120"
"Saturation 027","Saturation",150,842404.699367823,"150"
"Saturation 027","Saturation",180,887732.236517995,"180"
"Saturation 028","Saturation",0,6339.52,"0"
"Saturation 028","Saturation",30,234156.202593894,"30"
"Saturation 028","Saturation",60,386665.075939218,"60"
"Saturation 028","Saturation",90,495136.806620422,"90"
"Saturation 028","Saturation",120,563355.626539581,"120"
"Saturation 028","Saturation",150,595511.842370926,"150"
"Saturation 028","Saturation",180,609788.739952425,"180"
"Saturation 029","Saturation",0,9435.48347647434,"0"
"Saturation 029","Saturation",30,363543.337562294,"30"
"Saturation 029","Saturation",60,588461.026953103,"60"
"Saturation 029","Saturation",90,763801.930480948,"90"
"Saturation 029","Saturation",120,806686.172126203,"120"
"Saturation 029","Saturation",150,886436.621152539,"150"
"Saturation 029","Saturation",180,895055.001858846,"180"
"Saturation 030","Saturation",0,3810.22,"0"
"Saturation 030","Saturation",30,149913.873579227,"30"
"Saturation 030","Saturation",60,231978.000002626,"60"
"Saturation 030","Saturation",90,301232.023065068,"90"
"Saturation 030","Saturation",120,337379.983035207,"120"
"Saturation 030","Saturation",150,354929.44545389,"150"
"Saturation 030","Saturation",180,363041.513139305,"180"
"Saturation 031","Saturation",0,7241.43,"0"
"Saturation 031","Saturation",30,339489.884410194,"30"
"Saturation 031","Saturation",60,445300.541711262,"60"
"Saturation 031","Saturation",90,572568.471591742,"90"
"Saturation 031","Saturation",120,658366.094706595,"120"
"Saturation 031","Saturation",150,671477.953219796,"150"
"Saturation 031","Saturation",180,687418.525268107,"180"
"Saturation 032","Saturation",0,2228.4908347868,"0"
"Saturation 032","Saturation",30,83288.5669511266,"30"
"Saturation 032","Saturation",60,131885.072585351,"60"
"Saturation 032","Saturation",90,163517.212232203,"90"
"Saturation 032","Saturation",120,182964.231948922,"120"
"Saturation 032","Saturation",150,196274.368939638,"150"
"Saturation 032","Saturation",180,198932.68268276,"180"
"Saturation 033","Saturation",0,7659.6,"0"
"Saturation 033","Saturation",30,274644.351723774,"30"
"Saturation 033","Saturation",60,487044.852880625,"60"
"Saturation 033","Saturation",90,599813.752474635,"90"
"Saturation 033","Saturation",120,673676.082699713,"120"
"Saturation 033","Saturation",150,720971.451236711,"150"
"Saturation 033","Saturation",180,744166.025135333,"180"
"Saturation 034","Saturation",0,7113.52,"0"
"Saturation 034","Saturation",30,249273.625937042,"30"
"Saturation 034","Saturation",60,455518.915146254,"60"
"Saturation 034","Saturation",90,567118.799395039,"90"
"Saturation 034","Saturation",120,634717.225560786,"120"
"Saturation 034","Saturation",150,667172.104301969,"150"
"Saturation 034","Saturation",180,684137.701777175,"180"
"Saturation 035","Saturation",0,11219.1393597376,"0"
"Saturation 035","Saturation",30,396599.827334062,"30"
"Saturation 035","Saturation",60,657003.875076653,"60"
"Saturation 035","Saturation",90,793869.526507227,"90"
"Saturation 035","Saturation",120,882258.927081929,"120"
"Saturation 035","Saturation",150,925016.604367582,"150"
"Saturation 035","Saturation",180,943828.690015541,"180"
"Saturation 036","Saturation",0,3804.22343380057,"0"
"Saturation 036","Saturation",30,145606.248232776,"30"
"Saturation 036","Saturation",60,236592.850313063,"60"
"Saturation 036","Saturation",90,287239.065699419,"90"
"Saturation 036","Saturation",120,317447.84256981,"120"
"Saturation 036","Saturation",150,339888.337727394,"150"
"Saturation 036","Saturation",180,344051.452407493,"180"
"Saturation 037","Saturation",0,11444.3259215316,"0"
"Saturation 037","Saturation",30,441515.749266151,"30"
"Saturation 037","Saturation",60,675302.124320453,"60"
"Saturation 037","Saturation",90,761599.432449964,"90"
"Saturation 037","Saturation",120,888202.536258839,"120"
"Saturation 037","Saturation",150,905933.315821546,"150"
"Saturation 037","Saturation",180,944944.628592971,"180"
"Saturation 038","Saturation",0,4007.94019685221,"0"
"Saturation 038","Saturation",30,183735.164297109,"30"
"Saturation 038","Saturation",60,251423.782210526,"60"
"Saturation 038","Saturation",90,310315.342677514,"90"
"Saturation 038","Saturation",120,345117.12068054,"120"
"Saturation 038","Saturation",150,366694.176230652,"150"
"Saturation 038","Saturation",180,381532.741238725,"180"
"Saturation 039","Saturation",0,3178.81,"0"
"Saturation 039","Saturation",30,134169.85865834,"30"
"Saturation 039","Saturation",60,221105.838296432,"60"
"Saturation 039","Saturation",90,268565.127649128,"90"
"Saturation 039","Saturation",120,285952.580800954,"120"
"Saturation 039","Saturation",150,297485.228745561,"150"
"Saturation 039","Saturation",180,301049.119324192,"180"
"Saturation 040","Saturation",0,9427.48,"0"
"Saturation 040","Saturation",30,414778.815156484,"30"
"Saturation 040","Saturation",60,612759.550192637,"60"
"Saturation 040","Saturation",90,720540.350344298,"90"
"Saturation 040","Saturation",120,853831.102660071,"120"
"Saturation 040","Saturation",150,883715.376715483,"150"
"Saturation 040","Saturation",180,904113.741929787,"180"
"Saturation 041","Saturation",0,9404.78,"0"
"Saturation 041","Saturation",30,412318.204176062,"30"
"Saturation 041","Saturation",60,597956.879772026,"60"
"Saturation 041","Saturation",90,763453.516737398,"90"
"Saturation 041","Saturation",120,825545.097441451,"120"
"Saturation 041","Saturation",150,878972.524224883,"150"
"Saturation 041","Saturation",180,908230.305714829,"180"
"Saturation 042","Saturation",0,1197.4280216807,"0"
"Saturation 042","Saturation",30,38603.3948131349,"30"
"Saturation 042","Saturation",60,65436.5963623264,"60"
"Saturation 042","Saturation",90,86567.8875800401,"90"
"Saturation 042","Saturation",120,92040.0123930079,"120"
"Saturation 042","Saturation",150,94431.6154857727,"150"
"Saturation 042","Saturation",180,98745.8252349413,"180"
"Saturation 043","Saturation",0,103.62513593854,"0"
"Saturation 043","Saturation",30,3770.59882839128,"30"
"Saturation 043","Saturation",60,6195.64477157593,"60"
"Saturation 043","Saturation",90,7515.46145771131,"90"
"Saturation 043","Saturation",120,8314.02047206989,"120"
"Saturation 043","Saturation",150,8528.61213859672,"150"
"Saturation 043","Saturation",180,8789.52295893299,"180"
"Saturation 044","Saturation",0,3557.92,"0"
"Saturation 044","Saturation",30,134811.677322072,"30"
"Saturation 044","Saturation",60,230357.708879335,"60"
"Saturation 044","Saturation",90,291701.965417613,"90"
"Saturation 044","Saturation",120,301327.304653965,"120"
"Saturation 044","Saturation",150,328756.792378839,"150"
"Saturation 044","Saturation",180,340949.568801337,"180"
"Saturation 045","Saturation",0,9462.28843929311,"0"
"Saturation 045","Saturation",30,387057.702715714,"30"
"Saturation 045","Saturation",60,588191.04147393,"60"
"Saturation 045","Saturation",90,662434.529333549,"90"
"Saturation 045","Saturation",120,829277.176164485,"120"
"Saturation 045","Saturation",150,835022.048690813,"150"
"Saturation 045","Saturation",180,866855.208921115,"180"
"Saturation 046","Saturation",0,10683.1754639089,"0"
"Saturation 046","Saturation",30,411802.255210437,"30"
"Saturation 046","Saturation",60,599392.407987692,"60"
"Saturation 046","Saturation",90,745771.64539755,"90"
"Saturation 046","Saturation",120,800806.005885917,"120"
"Saturation 046","Saturation",150,868661.911201279,"150"
"Saturation 046","Saturation",180,885282.025426581,"180"
"Saturation 047","Saturation",0,6480.45,"0"
"Saturation 047","Saturation",30,257578.842781175,"30"
"Saturation 047","Saturation",60,441702.872389996,"60"
"Saturation 047","Saturation",90,523314.832868195,"90"
"Saturation 047","Saturation",120,563374.572555414,"120"
"Saturation 047","Saturation",150,595117.084044012,"150"
"Saturation 047","Saturation",180,621120.709262895,"180"
"Saturation 048","Saturation",0,5116.73,"0"
"Saturation 048","Saturation",30,212660.169644662,"30"
"Saturation 048","Saturation",60,337715.130301152,"60"
"Saturation 048","Saturation",90,408996.045713523,"90"
"Saturation 048","Saturation",120,441013.675842638,"120"
"Saturation 048","Saturation",150,477409.21178504,"150"
"Saturation 048","Saturation",180,494262.683825684,"180"
"Saturation 049","Saturation",0,7808.8,"0"
"Saturation 049","Saturation",30,311182.435913079,"30"
"Saturation 049","Saturation",60,519531.415911462,"60"
"Saturation 049","Saturation",90,608497.66620482,"90"
"Saturation 049","Saturation",120,659285.023859856,"120"
"Saturation 049","Saturation",150,731771.518988346,"150"
"Saturation 049","Saturation",180,743802.01231708,"180"
"Saturation 050","Saturation",0,5586.90794119936,"0"
"Saturation 050","Saturation",30,176367.665585638,"30"
"Saturation 050","Saturation",60,311597.103307274,"60"
"Saturation 050","Saturation",90,349029.867887291,"90"
"Saturation 050","Saturation",120,398741.823182394,"120"
"Saturation 050","Saturation",150,423607.658581122,"150"
"Saturation 050","Saturation",180,434067.997100223,"180"
"Saturation 051","Saturation",0,204,"0"
"Saturation 051","Saturation",30,8950.96762026778,"30"
"Saturation 051","Saturation",60,12189.0680590018,"60"
"Saturation 051","Saturation",90,16044.8475127142,"90"
"Saturation 051","Saturation",120,18173.3983522009,"120"
"Saturation 051","Saturation",150,18827.1648339814,"150"
"Saturation 051","Saturation",180,19562.7379746113,"180"
"Saturation 052","Saturation",0,9306.38873240187,"0"
"Saturation 052","Saturation",30,392151.188810939,"30"
"Saturation 052","Saturation",60,581232.795984403,"60"
"Saturation 052","Saturation",90,702561.482449814,"90"
"Saturation 052","Saturation",120,748724.305468888,"120"
"Saturation 052","Saturation",150,830017.864488023,"150"
"Saturation 052","Saturation",180,859412.755088875,"180"
"Saturation 053","Saturation",0,2434.75,"0"
"Saturation 053","Saturation",30,116656.99006403,"30"
"Saturation 053","Saturation",60,161494.150202123,"60"
"Saturation 053","Saturation",90,194329.014862668,"90"
"Saturation 053","Saturation",120,218907.543284261,"120"
"Saturation 053","Saturation",150,224266.31383261,"150"
"Saturation 053","Saturation",180,232476.795457253,"180"
"Saturation 054","Saturation",0,4954.85530038451,"0"
"Saturation 054","Saturation",30,234384.257303921,"30"
"Saturation 054","Saturation",60,299128.123744249,"60"
"Saturation 054","Saturation",90,390987.585319748,"90"
"Saturation 054","Saturation",120,437688.424917507,"120"
"Saturation 054","Saturation",150,460673.046411373,"150"
"Saturation 054","Saturation",180,470648.979892577,"180"
"Saturation 055","Saturation",0,9792.79,"0"
"Saturation 055","Saturation",30,431178.48705515,"30"
"Saturation 055","Saturation",60,676096.874121518,"60"
"Saturation 055","Saturation",90,725332.113989169,"90"
"Saturation 055","Saturation",120,879894.062495108,"120"
"Saturation 055","Saturation",150,896909.389862478,"150"
"Saturation 055","Saturation",180,940444.724512564,"180"
"Saturation 056","Saturation",0,4943.12,"0"
"Saturation 056","Saturation",30,193215.500539213,"30"
"Saturation 056","Saturation",60,325838.315194541,"60"
"Saturation 056","Saturation",90,398309.474524176,"90"
"Saturation 056","Saturation",120,441361.661795663,"120"
"Saturation 056","Saturation",150,448729.351795121,"150"
"Saturation 056","Saturation",180,468410.22491741,"180"
"Saturation 057","Saturation",0,6460.15104346137,"0"
"Saturation 057","Saturation",30,240533.587680242,"30"
"Saturation 057","Saturation",60,378996.183621624,"60"
"Saturation 057","Saturation",90,457063.665316031,"90"
"Saturation 057","Saturation",120,467555.472248642,"120"
"Saturation 057","Saturation",150,525215.035390326,"150"
"Saturation 057","Saturation",180,533740.70833356,"180"
"Saturation 058","Saturation",0,4978.36,"0"
"Saturation 058","Saturation",30,222084.184346043,"30"
"Saturation 058","Saturation",60,319474.060564436,"60"
"Saturation 058","Saturation",90,402118.6356756,"90"
"Saturation 058","Saturation",120,434372.715275772,"120"
"Saturation 058","Saturation",150,456698.834771369,"150"
"Saturation 058","Saturation",180,480385.118692038,"180"
"Saturation 059","Saturation",0,11774.6296595453,"0"
"Saturation 059","Saturation",30,390656.817702733,"30"
"Saturation 059","Saturation",60,648485.66352491,"60"
"Saturation 059","Saturation",90,790574.429878302,"90"
"Saturation 059","Saturation",120,819564.82562689,"120"
"Saturation 059","Saturation",150,857814.562841449,"150"
"Saturation 059","Saturation",180,896290.87811854,"180"
"Saturation 060","Saturation",0,8119.75501291577,"0"
"Saturation 060","Saturation",30,378532.177167369,"30"
"Saturation 060","Saturation",60,510189.358746705,"60"
"Saturation 060","Saturation",90,638588.118589529,"90"
"Saturation 060","Saturation",120,694928.3664331,"120"
"Saturation 060","Saturation",150,737299.869221996,"150"
"Saturation 060","Saturation",180,761917.677421292,"180"
"Saturation 061","Saturation",0,8426.57569122338,"0"
"Saturation 061","Saturation",30,337342.866865625,"30"
"Saturation 061","Saturation",60,521683.843618658,"60"
"Saturation 061","Saturation",90,595134.646648121,"90"
"Saturation 061","Saturation",120,689425.285463087,"120"
"Saturation 061","Saturation",150,704446.547381844,"150"
"Saturation 061","Saturation",180,729174.310182882,"180"
"Saturation 062","Saturation",0,5554.13608499813,"0"
"Saturation 062","Saturation",30,174559.34164608,"30"
"Saturation 062","Saturation",60,290669.051368067,"60"
"Saturation 062","Saturation",90,354942.002526315,"90"
"Saturation 062","Saturation",120,410756.452023905,"120"
"Saturation 062","Saturation",150,433238.16023817,"150"
"Saturation 062","Saturation",180,447151.528817251,"180"
"Saturation 063","Saturation",0,6405.29,"0"
"Saturation 063","Saturation",30,242241.145546172,"30"
"Saturation 063","Saturation",60,440961.42959947,"60"
"Saturation 063","Saturation",90,521017.213443583,"90"
"Saturation 063","Saturation",120,547426.668629788,"120"
"Saturation 063","Saturation",150,593982.25842282,"150"
"Saturation 063","Saturation",180,609855.739411626,"180"
"Saturation 064","Saturation",0,1033.92653199474,"0"
"Saturation 064","Saturation",30,41615.8989052862,"30"
"Saturation 064","Saturation",60,65765.3580818874,"60"
"Saturation 064","Saturation",90,80945.1312175355,"90"
"Saturation 064","Saturation",120,90302.8179058709,"120"
"Saturation 064","Saturation",150,94092.1317618165,"150"
"Saturation 064","Saturation",180,96467.0411192335,"180"
"Saturation 065","Saturation",0,7217.56,"0"
"Saturation 065","Saturation",30,307211.297046442,"30"
"Saturation 065","Saturation",60,446225.72286418,"60"
"Saturation 065","Saturation",90,570588.368016487,"90"
"Saturation 065","Saturation",120,645410.478579112,"120"
"Saturation 065","Saturation",150,669211.899954249,"150"
"Saturation 065","Saturation",180,688061.804049863,"180"
"Saturation 066","Saturation",0,7920.94496562985,"0"
"Saturation 066","Saturation",30,295206.770965357,"30"
"Saturation 066","Saturation",60,472705.813035328,"60"
"Saturation 066","Saturation",90,542635.89182059,"90"
"Saturation 066","Saturation",120,601667.140518509,"120"
"Saturation 066","Saturation",150,627072.425773599,"150"
"Saturation 066","Saturation",180,653276.397828467,"180"
"Saturation 067","Saturation",0,8097.26,"0"
"Saturation 067","Saturation",30,339290.262195269,"30"
"Saturation 067","Saturation",60,582717.149918533,"60"
"Saturation 067","Saturation",90,659631.552225642,"90"
"Saturation 067","Saturation",120,726637.149549044,"120"
"Saturation 067","Saturation",150,754554.995118755,"150"
"Saturation 067","Saturation",180,772368.480149346,"180"
"Saturation 068","Saturation",0,9671.22,"0"
"Saturation 068","Saturation",30,384236.677327769,"30"
"Saturation 068","Saturation",60,655202.113608028,"60"
"Saturation 068","Saturation",90,740617.965121298,"90"
"Saturation 068","Saturation",120,863262.843064842,"120"
"Saturation 068","Saturation",150,906106.903564543,"150"
"Saturation 068","Saturation",180,919025.170283364,"180"
"Saturation 069","Saturation",0,1628.86124349496,"0"
"Saturation 069","Saturation",30,47167.4842296778,"30"
"Saturation 069","Saturation",60,81659.9036451196,"60"
"Saturation 069","Saturation",90,92873.3605912685,"90"
"Saturation 069","Saturation",120,107304.758927101,"120"
"Saturation 069","Saturation",150,111405.484150869,"150"
"Saturation 069","Saturation",180,115817.743825489,"180"
"Saturation 070","Saturation",0,8236.79,"0"
"Saturation 070","Saturation",30,325501.203692895,"30"
"Saturation 070","Saturation",60,532805.782475064,"60"
"Saturation 070","Saturation",90,642200.252390835,"90"
"Saturation 070","Saturation",120,712844.576408213,"120"
"Saturation 070","Saturation",150,769365.818725497,"150"
"Saturation 070","Saturation",180,783273.247819229,"180"
"Saturation 071","Saturation",0,5867.94,"0"
"Saturation 071","Saturation",30,245302.74758041,"30"
"Saturation 071","Saturation",60,394127.512864106,"60"
"Saturation 071","Saturation",90,474951.52215969,"90"
"Saturation 071","Saturation",120,512824.501699157,"120"
"Saturation 071","Saturation",150,545175.568703819,"150"
"Saturation 071","Saturation",180,565335.319900366,"180"
"Saturation 072","Saturation",0,6691.23,"0"
"Saturation 072","Saturation",30,285061.307691491,"30"
"Saturation 072","Saturation",60,427204.631305653,"60"
"Saturation 072","Saturation",90,554398.230072384,"90"
"Saturation 072","Saturation",120,595200.991683962,"120"
"Saturation 072","Saturation",150,621616.360377781,"150"
"Saturation 072","Saturation",180,634585.671712377,"180"
"Saturation 073","Saturation",0,4946.66,"0"
"Saturation 073","Saturation",30,203126.818785694,"30"
"Saturation 073","Saturation",60,303443.702113584,"60"
"Saturation 073","Saturation",90,399318.185205073,"90"
"Saturation 073","Saturation",120,426482.211878234,"120"
"Saturation 073","Saturation",150,458071.514837678,"150"
"Saturation 073","Saturation",180,474828.434526114,"180"
"Saturation 074","Saturation",0,3955.76038747607,"0"
"Saturation 074","Saturation",30,133405.008711949,"30"
"Saturation 074","Saturation",60,203192.646107286,"60"
"Saturation 074","Saturation",90,293585.35536389,"90"
"Saturation 074","Saturation",120,324811.58595093,"120"
"Saturation 074","Saturation",150,336908.888761917,"150"
"Saturation 074","Saturation",180,349730.424250452,"180"
"Saturation 075","Saturation",0,2069.41,"0"
"Saturation 075","Saturation",30,71123.2801712806,"30"
"Saturation 075","Saturation",60,143550.196812043,"60"
"Saturation 075","Saturation",90,173937.705296403,"90"
"Saturation 075","Saturation",120,185404.31432067,"120"
"Saturation 075","Saturation",150,192042.874315911,"150"
"Saturation 075","Saturation",180,198118.998922045,"180"
"Saturation 076","Saturation",0,5774.7584309521,"0"
"Saturation 076","Saturation",30,210183.376104245,"30"
"Saturation 076","Saturation",60,326243.076388312,"60"
"Saturation 076","Saturation",90,393064.026233209,"90"
"Saturation 076","Saturation",120,451684.106533641,"120"
"Saturation 076","Saturation",150,475368.371532274,"150"
"Saturation 076","Saturation",180,493638.385163897,"180"
"Saturation 077","Saturation",0,2713.82977900222,"0"
"Saturation 077","Saturation",30,89790.0646937053,"30"
"Saturation 077","Saturation",60,149745.63121542,"60"
"Saturation 077","Saturation",90,158730.276783209,"90"
